                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                 1.2746,                 1.5013,                 1.0861,                 1.1857,                0.72255,                0.63363,                0.69721,                0.44537,                0.70353,                0.61132,                0.65709,                0.34797,                 1.1708,                  1.314,                 1.0124,                 1.1481,              0.0090595,              0.0090595,              0.0090595
                     22,                 1.2804,                 1.5232,                 1.0854,                 1.1857,                0.72697,                0.63321,                0.70243,                0.44823,                0.70717,                0.61473,                0.66463,                 0.3573,                  1.167,                 1.3069,                 1.0094,                 1.1503,                0.00901,                0.00901,                0.00901
                     23,                 1.2719,                 1.5252,                 1.0855,                 1.1805,                0.73595,                0.62655,                0.70277,                0.45102,                 0.7186,                0.60638,                0.66367,                0.35407,                  1.165,                 1.3041,                 1.0044,                 1.1493,              0.0089605,              0.0089605,              0.0089605
                     24,                 1.2702,                 1.5139,                 1.0771,                 1.1819,                0.71631,                0.63799,                0.70284,                0.44988,                  0.698,                0.61649,                0.66528,                0.35371,                 1.1623,                 1.3023,                 1.0044,                 1.1463,               0.008911,               0.008911,               0.008911
                     25,                 1.2725,                 1.5051,                 1.0751,                 1.1779,                0.72432,                0.63164,                0.69763,                0.44818,                0.70961,                0.60669,                0.65663,                0.34688,                 1.1559,                 1.3049,                 1.0158,                 1.1388,              0.0088615,              0.0088615,              0.0088615
                     26,                 1.2671,                  1.509,                  1.084,                 1.1807,                0.72871,                0.63381,                0.70058,                0.45068,                0.70744,                0.61407,                0.66291,                0.35439,                 1.1617,                 1.3048,                 1.0023,                 1.1441,               0.008812,               0.008812,               0.008812
                     27,                 1.2704,                 1.5143,                  1.076,                 1.1794,                0.72108,                 0.6432,                0.70995,                0.45675,                0.70132,                0.62234,                0.66998,                0.35641,                 1.1544,                 1.2997,                0.99019,                 1.1414,              0.0087625,              0.0087625,              0.0087625
                     28,                 1.2642,                 1.5131,                 1.0698,                 1.1771,                 0.7303,                 0.6352,                0.70405,                0.45353,                0.71304,                0.61511,                0.66598,                0.35616,                 1.1553,                 1.2995,                 1.0018,                 1.1413,               0.008713,               0.008713,               0.008713
                     29,                 1.2634,                 1.5235,                 1.0707,                  1.175,                 0.7263,                0.63642,                0.70115,                0.45057,                0.70991,                0.61381,                0.66239,                0.35427,                  1.155,                 1.3008,                 1.0087,                  1.139,              0.0086635,              0.0086635,              0.0086635
                     30,                 1.2637,                 1.5143,                   1.07,                 1.1728,                0.73097,                0.63834,                0.70792,                0.45431,                0.71136,                0.62001,                0.67121,                0.35866,                 1.1522,                 1.2967,                 1.0032,                 1.1387,               0.008614,               0.008614,               0.008614
                     31,                 1.2698,                 1.4925,                  1.068,                 1.1791,                0.73269,                0.63521,                0.70491,                0.45248,                0.71559,                0.61438,                0.66802,                0.35519,                 1.1601,                 1.2979,                 1.0026,                 1.1525,              0.0085645,              0.0085645,              0.0085645
                     32,                 1.2646,                 1.4976,                 1.0732,                 1.1786,                0.73169,                0.63688,                 0.7102,                0.45668,                 0.7113,                0.61557,                0.67096,                0.35649,                 1.1497,                 1.2974,                 0.9933,                 1.1368,               0.008515,               0.008515,               0.008515
                     33,                 1.2593,                 1.5091,                 1.0673,                 1.1748,                0.73393,                0.63795,                0.70877,                0.45583,                0.71227,                0.61913,                0.67124,                0.36017,                  1.159,                 1.2929,                0.99864,                 1.1462,              0.0084655,              0.0084655,              0.0084655
                     34,                 1.2607,                 1.4965,                 1.0613,                 1.1751,                0.72947,                0.63834,                 0.7055,                0.45516,                0.71083,                0.61361,                0.66567,                0.35448,                 1.1551,                 1.2976,                0.99301,                 1.1401,               0.008416,               0.008416,               0.008416
                     35,                 1.2644,                 1.4931,                 1.0655,                 1.1781,                0.73216,                0.64059,                0.70752,                0.45647,                 0.7116,                0.62161,                0.66938,                 0.3584,                 1.1543,                  1.296,                0.98912,                 1.1412,              0.0083665,              0.0083665,              0.0083665
                     36,                 1.2578,                 1.5076,                 1.0569,                 1.1727,                0.72819,                0.64454,                0.70887,                0.45615,                0.71275,                0.62261,                0.67297,                 0.3628,                 1.1504,                 1.2933,                0.99838,                 1.1403,               0.008317,               0.008317,               0.008317
                     37,                  1.257,                 1.5002,                 1.0644,                 1.1732,                0.72335,                0.64518,                0.71062,                0.45868,                 0.7035,                0.62257,                0.67147,                 0.3592,                 1.1467,                 1.2943,                0.99532,                 1.1361,              0.0082675,              0.0082675,              0.0082675
                     38,                 1.2526,                 1.4926,                 1.0562,                 1.1729,                 0.7272,                0.64633,                0.71154,                0.46007,                0.70762,                0.62494,                0.67322,                0.35855,                 1.1454,                 1.2981,                0.99173,                 1.1385,               0.008218,               0.008218,               0.008218
                     39,                 1.2587,                 1.5113,                 1.0597,                  1.174,                0.73087,                 0.6383,                0.70957,                0.45874,                0.71416,                0.61771,                0.67294,                0.35991,                 1.1524,                  1.293,                0.98803,                 1.1376,              0.0081685,              0.0081685,              0.0081685
                     40,                 1.2565,                  1.493,                   1.06,                 1.1737,                0.72864,                0.63527,                0.70579,                0.45732,                0.70963,                0.61461,                0.66631,                0.36006,                 1.1472,                 1.2932,                0.99166,                 1.1366,               0.008119,               0.008119,               0.008119
                     41,                 1.2487,                 1.4898,                 1.0509,                 1.1692,                0.73385,                0.64058,                0.71038,                0.45915,                0.71571,                0.61744,                0.67121,                0.35953,                 1.1484,                 1.2973,                0.98116,                 1.1388,              0.0080695,              0.0080695,              0.0080695
                     42,                  1.246,                 1.4798,                 1.0559,                 1.1722,                0.72867,                0.64148,                0.70902,                0.45799,                0.70964,                0.61989,                0.66917,                0.35983,                  1.143,                 1.2905,                0.98742,                 1.1344,                0.00802,                0.00802,                0.00802
                     43,                 1.2515,                 1.4978,                 1.0488,                 1.1696,                0.73198,                0.64675,                0.71237,                0.46143,                 0.7125,                 0.6249,                0.67429,                0.36197,                 1.1416,                 1.2897,                 0.9774,                 1.1308,              0.0079705,              0.0079705,              0.0079705
                     44,                 1.2521,                 1.4875,                 1.0478,                 1.1684,                0.72782,                0.64603,                0.71214,                0.46275,                 0.7078,                0.62575,                0.67376,                 0.3629,                 1.1445,                 1.2889,                0.97902,                 1.1345,               0.007921,               0.007921,               0.007921
                     45,                   1.25,                 1.4921,                 1.0468,                 1.1661,                0.73333,                0.64844,                0.71459,                0.46282,                0.71205,                0.62617,                0.67285,                0.36048,                 1.1443,                   1.29,                0.97484,                 1.1317,              0.0078715,              0.0078715,              0.0078715
                     46,                  1.243,                  1.477,                 1.0423,                 1.1643,                0.73987,                0.64017,                0.71566,                0.46325,                0.72122,                0.61589,                0.67715,                0.36351,                 1.1416,                 1.2825,                0.97117,                 1.1301,               0.007822,               0.007822,               0.007822
                     47,                 1.2478,                 1.4866,                 1.0491,                 1.1682,                0.73145,                0.64626,                0.71319,                0.46147,                0.71613,                0.62226,                0.67323,                0.36116,                 1.1418,                 1.2863,                0.97613,                 1.1334,              0.0077725,              0.0077725,              0.0077725
                     48,                 1.2458,                 1.4793,                 1.0409,                 1.1623,                0.74067,                0.64537,                0.71953,                0.46539,                0.72107,                0.62467,                0.67969,                0.36246,                 1.1417,                 1.2856,                0.96659,                 1.1323,               0.007723,               0.007723,               0.007723
                     49,                 1.2412,                 1.4808,                 1.0386,                 1.1629,                0.73164,                0.64548,                0.71456,                0.46183,                0.71388,                 0.6249,                0.67483,                0.36148,                 1.1426,                 1.2885,                0.97301,                  1.138,              0.0076735,              0.0076735,              0.0076735
                     50,                 1.2541,                 1.4834,                 1.0419,                 1.1669,                0.73952,                0.64488,                0.71584,                0.46343,                0.72238,                0.62284,                0.67831,                0.36399,                 1.1413,                 1.2896,                0.97025,                 1.1343,               0.007624,               0.007624,               0.007624
                     51,                 1.2469,                 1.4837,                 1.0465,                 1.1642,                0.73811,                0.64797,                0.71779,                0.46607,                0.71733,                0.62973,                0.68146,                0.36669,                 1.1369,                 1.2834,                0.96767,                 1.1297,              0.0075745,              0.0075745,              0.0075745
                     52,                  1.239,                 1.4924,                 1.0444,                 1.1652,                0.73624,                0.64729,                0.71677,                0.46576,                0.71659,                0.62666,                 0.6766,                0.36158,                 1.1357,                 1.2859,                0.96883,                 1.1264,               0.007525,               0.007525,               0.007525
                     53,                 1.2408,                 1.4811,                 1.0414,                 1.1634,                0.73531,                0.64411,                0.71472,                0.46416,                  0.716,                0.62219,                0.67722,                0.36573,                 1.1362,                 1.2834,                0.97129,                 1.1309,              0.0074755,              0.0074755,              0.0074755
                     54,                 1.2392,                 1.4848,                 1.0379,                 1.1636,                0.73916,                0.64454,                0.71593,                0.46505,                0.71854,                0.62552,                0.67843,                0.36727,                 1.1357,                 1.2841,                0.96692,                 1.1322,               0.007426,               0.007426,               0.007426
                     55,                 1.2437,                 1.4828,                 1.0346,                 1.1627,                0.73589,                0.64993,                0.71837,                0.46744,                0.71956,                0.62716,                0.68051,                0.36679,                 1.1279,                 1.2812,                0.96219,                 1.1281,              0.0073765,              0.0073765,              0.0073765
                     56,                 1.2406,                 1.4775,                 1.0385,                 1.1654,                0.73089,                0.64718,                0.71591,                0.46667,                0.72073,                0.62187,                0.67914,                 0.3667,                 1.1324,                 1.2805,                0.96425,                 1.1306,               0.007327,               0.007327,               0.007327
                     57,                 1.2377,                 1.4826,                 1.0314,                 1.1606,                 0.7374,                 0.6497,                0.71903,                0.46844,                0.71934,                0.62927,                 0.6813,                0.36939,                 1.1341,                 1.2818,                0.96295,                  1.131,              0.0072775,              0.0072775,              0.0072775
                     58,                 1.2426,                 1.4832,                  1.037,                 1.1598,                 0.7379,                0.65005,                 0.7193,                0.46756,                0.72029,                0.62792,                0.68287,                0.36852,                 1.1345,                 1.2824,                0.96361,                 1.1321,               0.007228,               0.007228,               0.007228
                     59,                 1.2373,                 1.4686,                 1.0331,                 1.1616,                0.73711,                0.65063,                0.71953,                0.46723,                0.71959,                0.62724,                  0.679,                0.36401,                 1.1343,                 1.2813,                0.96275,                 1.1264,              0.0071785,              0.0071785,              0.0071785
                     60,                 1.2344,                 1.4832,                 1.0277,                 1.1611,                0.73699,                0.64745,                0.71634,                0.46652,                0.71977,                0.62651,                0.67807,                0.36481,                 1.1345,                 1.2808,                0.96071,                 1.1279,               0.007129,               0.007129,               0.007129
                     61,                 1.2307,                 1.4833,                 1.0288,                 1.1558,                0.73504,                0.64748,                0.71952,                0.46857,                0.71719,                0.62368,                0.67947,                0.36469,                 1.1322,                 1.2778,                0.96221,                 1.1245,              0.0070795,              0.0070795,              0.0070795
                     62,                 1.2269,                 1.4482,                 1.0171,                 1.1564,                0.73952,                0.65311,                0.72056,                0.46862,                0.71837,                0.63443,                0.68182,                0.36896,                 1.1333,                 1.2768,                0.95768,                 1.1276,                0.00703,                0.00703,                0.00703
                     63,                  1.243,                 1.4793,                 1.0321,                 1.1614,                0.74191,                0.64932,                0.72008,                0.47025,                0.72249,                0.62858,                0.68052,                0.36673,                 1.1268,                 1.2732,                0.95743,                 1.1247,              0.0069805,              0.0069805,              0.0069805
                     64,                  1.229,                 1.4646,                 1.0251,                 1.1567,                 0.7395,                0.64947,                0.71952,                0.46829,                0.72265,                0.62824,                0.67921,                0.36593,                 1.1328,                 1.2795,                0.95641,                 1.1273,               0.006931,               0.006931,               0.006931
                     65,                  1.232,                 1.4792,                  1.028,                 1.1589,                0.73973,                0.65008,                0.71882,                0.46886,                0.71955,                0.63118,                0.67845,                0.36544,                 1.1282,                 1.2796,                0.95659,                 1.1259,              0.0068815,              0.0068815,              0.0068815
                     66,                 1.2325,                 1.4676,                 1.0302,                 1.1578,                 0.7401,                0.65218,                0.71845,                 0.4686,                0.72026,                0.63344,                 0.6779,                0.36487,                 1.1306,                 1.2783,                 0.9591,                 1.1273,               0.006832,               0.006832,               0.006832
                     67,                 1.2348,                 1.4594,                 1.0257,                 1.1573,                0.73272,                0.65303,                0.71983,                0.47003,                0.71407,                0.63095,                0.67997,                0.36793,                 1.1287,                 1.2724,                0.95361,                 1.1272,              0.0067825,              0.0067825,              0.0067825
                     68,                 1.2335,                 1.4674,                 1.0258,                 1.1599,                0.73881,                0.65445,                0.72256,                0.47168,                0.72056,                0.63149,                0.68279,                0.36803,                 1.1252,                 1.2741,                0.95026,                 1.1249,               0.006733,               0.006733,               0.006733
                     69,                 1.2338,                 1.4619,                 1.0228,                 1.1581,                0.74275,                0.65199,                0.72229,                0.47081,                0.72167,                0.63003,                0.68335,                0.36697,                 1.1276,                  1.274,                0.95256,                 1.1262,              0.0066835,              0.0066835,              0.0066835
                     70,                 1.2296,                 1.4644,                 1.0271,                 1.1598,                0.74233,                0.65383,                0.72178,                0.47123,                0.72013,                0.63306,                0.68028,                0.36749,                 1.1296,                 1.2771,                0.95287,                 1.1248,               0.006634,               0.006634,               0.006634
                     71,                 1.2276,                 1.4693,                 1.0171,                 1.1555,                0.74263,                0.65047,                0.71946,                0.47011,                0.72418,                0.62762,                0.67996,                0.37014,                 1.1233,                 1.2749,                 0.9534,                 1.1237,              0.0065845,              0.0065845,              0.0065845
                     72,                 1.2293,                 1.4619,                   1.02,                 1.1552,                0.74467,                0.64855,                0.72258,                0.47263,                 0.7237,                0.62808,                0.68297,                0.37027,                  1.124,                 1.2691,                0.95072,                 1.1217,               0.006535,               0.006535,               0.006535
                     73,                 1.2232,                 1.4685,                 1.0212,                 1.1527,                0.74061,                0.65688,                0.72442,                0.47376,                0.72098,                0.63394,                0.68377,                0.36901,                 1.1196,                 1.2697,                0.94919,                 1.1183,              0.0064855,              0.0064855,              0.0064855
                     74,                 1.2212,                 1.4558,                 1.0133,                 1.1539,                0.74658,                0.65261,                 0.7237,                0.47441,                0.72438,                0.63321,                0.68422,                0.36961,                 1.1218,                 1.2745,                0.94418,                 1.1246,               0.006436,               0.006436,               0.006436
                     75,                 1.2264,                 1.4641,                 1.0119,                 1.1531,                0.74746,                 0.6541,                0.72643,                0.47504,                0.72654,                0.63283,                0.68829,                0.37149,                 1.1215,                 1.2709,                0.94507,                 1.1202,              0.0063865,              0.0063865,              0.0063865
                     76,                  1.224,                 1.4561,                 1.0108,                 1.1527,                0.73706,                0.65575,                0.72182,                0.47372,                0.71938,                0.63417,                0.68457,                0.37131,                 1.1218,                 1.2719,                0.94789,                 1.1223,               0.006337,               0.006337,               0.006337
                     77,                 1.2262,                 1.4679,                 1.0111,                 1.1544,                0.73618,                 0.6566,                0.72209,                0.47383,                0.71644,                0.63551,                0.68284,                0.37078,                  1.121,                 1.2699,                0.94763,                  1.123,              0.0062875,              0.0062875,              0.0062875
                     78,                 1.2204,                 1.4672,                  1.011,                 1.1517,                 0.7339,                0.66091,                0.72478,                0.47483,                0.71784,                0.63489,                0.68477,                0.36997,                 1.1266,                 1.2711,                0.94267,                 1.1241,               0.006238,               0.006238,               0.006238
                     79,                 1.2233,                 1.4522,                 1.0073,                 1.1517,                0.74013,                0.65464,                0.72392,                0.47502,                0.71842,                0.63424,                0.68423,                 0.3709,                 1.1223,                 1.2663,                0.94335,                 1.1229,              0.0061885,              0.0061885,              0.0061885
                     80,                 1.2221,                 1.4679,                 1.0128,                 1.1483,                  0.737,                0.65678,                0.72411,                0.47438,                0.71713,                0.63527,                0.68449,                0.37279,                 1.1226,                 1.2687,                0.94269,                  1.121,               0.006139,               0.006139,               0.006139
                     81,                 1.2215,                 1.4612,                 1.0078,                 1.1504,                0.74054,                0.65429,                0.72352,                0.47457,                0.71915,                0.63451,                0.68437,                0.37185,                 1.1218,                 1.2706,                0.94432,                 1.1191,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.2217,                 1.4615,                 1.0093,                 1.1517,                0.73908,                0.65743,                0.72566,                0.47646,                0.71611,                  0.637,                0.68542,                0.37315,                 1.1178,                 1.2683,                0.94277,                 1.1197,                0.00604,                0.00604,                0.00604
                     83,                 1.2185,                 1.4483,                  1.006,                 1.1488,                0.74088,                0.65315,                0.72196,                 0.4742,                0.71924,                0.63306,                0.68347,                0.37096,                 1.1164,                 1.2688,                0.94575,                 1.1174,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.2062,                 1.4537,                0.99725,                  1.146,                 0.7468,                0.65114,                0.72438,                0.47502,                0.72526,                0.62976,                0.68308,                0.37001,                  1.117,                  1.268,                0.94405,                 1.1183,               0.005941,               0.005941,               0.005941
                     85,                 1.2184,                 1.4365,                 1.0053,                 1.1492,                0.74194,                0.65563,                0.72512,                0.47575,                0.72026,                0.63355,                0.68453,                0.37172,                 1.1174,                  1.266,                0.94175,                 1.1176,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.2128,                 1.4458,                0.99995,                 1.1491,                0.74413,                0.65334,                0.72501,                0.47591,                0.72055,                0.63263,                0.68378,                0.36995,                 1.1179,                  1.266,                0.93954,                 1.1192,               0.005842,               0.005842,               0.005842
                     87,                  1.221,                 1.4653,                 1.0052,                 1.1478,                0.74009,                0.66022,                 0.7262,                0.47685,                0.71778,                0.64033,                0.68705,                 0.3719,                 1.1175,                  1.264,                0.93686,                 1.1183,              0.0057925,              0.0057925,              0.0057925
                     88,                  1.219,                 1.4475,                 1.0067,                 1.1474,                0.73636,                0.66269,                0.72579,                0.47693,                0.71881,                0.63987,                0.68677,                0.37372,                 1.1182,                 1.2644,                0.93724,                 1.1191,               0.005743,               0.005743,               0.005743
                     89,                 1.2156,                 1.4511,                 1.0008,                  1.145,                0.74434,                0.65812,                0.72726,                0.47688,                0.72241,                0.63746,                0.68637,                0.37308,                 1.1183,                 1.2632,                0.93945,                 1.1183,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.2116,                 1.4516,                 1.0019,                 1.1457,                0.74685,                0.65778,                0.72724,                0.47662,                0.72416,                0.63581,                0.68591,                0.37106,                 1.1197,                 1.2644,                0.93987,                 1.1205,               0.005644,               0.005644,               0.005644
                     91,                 1.2053,                 1.4543,                0.99467,                 1.1446,                0.74249,                0.66133,                0.72709,                0.47664,                0.72168,                0.63853,                 0.6856,                0.37107,                 1.1173,                 1.2643,                0.93775,                 1.1198,              0.0055945,              0.0055945,              0.0055945
                     92,                  1.215,                 1.4436,                 1.0006,                 1.1492,                0.74233,                0.66081,                0.72805,                0.47897,                0.72063,                0.63944,                 0.6863,                0.37267,                 1.1144,                  1.266,                0.93561,                 1.1181,               0.005545,               0.005545,               0.005545
                     93,                 1.2084,                 1.4414,                 0.9963,                 1.1466,                0.74259,                0.65961,                0.72806,                0.47875,                0.71976,                0.63932,                 0.6875,                0.37355,                 1.1158,                 1.2647,                0.93666,                 1.1197,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.2126,                 1.4315,                0.99535,                  1.145,                0.74324,                0.65938,                0.72771,                0.47777,                0.72068,                 0.6383,                0.68733,                0.37294,                 1.1168,                  1.264,                0.93527,                 1.1187,               0.005446,               0.005446,               0.005446
                     95,                 1.2062,                 1.4548,                0.99583,                  1.147,                0.74064,                0.66233,                0.72849,                0.47819,                0.71868,                0.63975,                0.68555,                0.37143,                 1.1158,                 1.2647,                0.93456,                 1.1192,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.2119,                 1.4441,                0.98887,                  1.143,                0.74445,                0.66057,                 0.7295,                0.47839,                0.72346,                0.63765,                0.68823,                0.37268,                 1.1174,                 1.2661,                0.93265,                 1.1182,               0.005347,               0.005347,               0.005347
                     97,                 1.2004,                 1.4369,                0.98844,                 1.1412,                0.74357,                0.65938,                0.72992,                0.47881,                0.71919,                0.63776,                0.68837,                0.37342,                 1.1148,                 1.2632,                0.93239,                  1.118,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.2074,                 1.4419,                0.98329,                 1.1413,                0.74856,                0.65575,                0.72943,                0.47853,                0.72641,                 0.6321,                0.68739,                0.37412,                 1.1161,                 1.2625,                0.93208,                 1.1184,               0.005248,               0.005248,               0.005248
                     99,                 1.2078,                 1.4432,                0.99252,                 1.1415,                0.74606,                0.65973,                0.72943,                0.47828,                0.72498,                0.63552,                0.68864,                0.37403,                  1.115,                 1.2624,                0.93128,                 1.1167,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.2076,                 1.4265,                 0.9909,                 1.1453,                0.74163,                0.66156,                0.72841,                0.47858,                 0.7214,                0.63891,                0.68751,                0.37266,                 1.1146,                 1.2613,                0.92953,                 1.1154,               0.005149,               0.005149,               0.005149
                    101,                 1.2089,                   1.43,                0.99317,                 1.1414,                 0.7421,                0.66218,                0.72983,                0.47947,                0.71802,                0.64177,                0.68799,                  0.374,                 1.1125,                  1.261,                0.92823,                 1.1142,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.2045,                 1.4521,                0.98859,                 1.1402,                0.74459,                0.65984,                0.72952,                0.47937,                0.72154,                0.63818,                0.68768,                 0.3747,                 1.1132,                 1.2622,                0.92739,                 1.1154,                0.00505,                0.00505,                0.00505
                    103,                 1.2045,                 1.4386,                0.98514,                   1.14,                0.74422,                0.66179,                0.72949,                0.47929,                0.72047,                0.64067,                0.68784,                0.37524,                 1.1133,                 1.2646,                0.92926,                 1.1157,              0.0050005,              0.0050005,              0.0050005
                    104,                 1.2037,                 1.4386,                0.98104,                 1.1422,                0.75017,                0.65747,                0.72873,                0.47893,                0.72692,                0.63623,                0.68702,                0.37421,                 1.1145,                 1.2645,                0.92974,                  1.118,               0.004951,               0.004951,               0.004951
